Train Time,Inference Time,Total Time,Threads,Num Trees,Data Size,Speedup,Efficiency
168.015808,0.076587,168.092392,32,100,449985,-1.000,-1.000

177.933273,0.078137,178.011414,64,100,449985,-1.000,-1.000

220.869385,0.075560,220.944946,16,100,449985,-1.000,-1.000

354.404510,0.078805,354.483307,8,100,449985,-1.000,-1.000

623.423584,0.085076,623.508667,4,100,449985,-1.000,-1.000

1133.947021,0.078719,1134.025757,2,100,449985,-1.000,-1.000

2438.744629,0.087574,2438.832275,1,100,449985,1.000,1.000

